Real: 0.311201	Estimated: 0.351759	cutvector: 940 	cutvector: 1024 
Real: 0.384746	Estimated: 0.345933	cutvector: 940 	cutvector: 1024 
Real: 0.447353	Estimated: 0.360933	cutvector: 940 	cutvector: 1024 
Real: 0.490988	Estimated: 0.362646	cutvector: 940 	cutvector: 1024 
Real: 0.438904	Estimated: 0.34152	cutvector: 940 	cutvector: 1024 
Real: 0.283914	Estimated: 0.338919	cutvector: 940 	cutvector: 1024 
Real: 0.542905	Estimated: 0.318681	cutvector: 940 	cutvector: 1024 
Real: 0.339389	Estimated: 0.341462	cutvector: 940 	cutvector: 1024 
Real: 0.340889	Estimated: 0.332145	cutvector: 940 	cutvector: 1024 
Real: 0.337463	Estimated: 0.31887	cutvector: 940 	cutvector: 1024 
Real: 0.374261	Estimated: 0.475617	cutvector: 940 	cutvector: 1024 
Real: 0.26712	Estimated: 0.472337	cutvector: 940 	cutvector: 1024 
Real: 0.337365	Estimated: 0.400816	cutvector: 940 	cutvector: 1024 
Real: 0.359613	Estimated: 0.356681	cutvector: 940 	cutvector: 1024 
Real: 0.402639	Estimated: 0.715432	cutvector: 940 	cutvector: 1024 
Real: 0.355524	Estimated: 0.769834	cutvector: 940 	cutvector: 1024 
Real: 0.57743	Estimated: 0.0548687	cutvector: 84 	cutvector: 1024 
Real: 0.416252	Estimated: 0.0568491	cutvector: 84 	cutvector: 1024 
Real: 0.49111	Estimated: 0.0658968	cutvector: 84 	cutvector: 1024 
Real: 0.281829	Estimated: 0.416725	cutvector: 940 	cutvector: 1024 
Real: 0.379935	Estimated: 0.390014	cutvector: 940 	cutvector: 1024 
Real: 0.336295	Estimated: 0.373993	cutvector: 940 	cutvector: 1024 
Real: 0.375779	Estimated: 0.362664	cutvector: 940 	cutvector: 1024 
Real: 0.475554	Estimated: 0.27814	cutvector: 84 	cutvector: 1024 
Real: 0.380143	Estimated: 0.358477	cutvector: 940 	cutvector: 1024 
Real: 0.471148	Estimated: 0.324279	cutvector: 323 	cutvector: 1024 
Real: 0.233215	Estimated: 0.270132	cutvector: 226 	cutvector: 1024 
Real: 0.399545	Estimated: 0.0625774	cutvector: 84 	cutvector: 1024 
Real: 0.407601	Estimated: 0.328932	cutvector: 940 	cutvector: 1024 
Real: 0.359944	Estimated: 0.321977	cutvector: 940 	cutvector: 1024 
Real: 0.446553	Estimated: 0.28308	cutvector: 84 	cutvector: 1024 
Real: 0.411331	Estimated: 0.340908	cutvector: 940 	cutvector: 1024 
Real: 0.397181	Estimated: 0.345452	cutvector: 940 	cutvector: 1024 
Real: 0.375379	Estimated: 0.345327	cutvector: 940 	cutvector: 1024 
Real: 0.293463	Estimated: 0.337661	cutvector: 940 	cutvector: 1024 
Real: 0.37151	Estimated: 0.325696	cutvector: 940 	cutvector: 1024 
Real: 0.439794	Estimated: 0.313456	cutvector: 940 	cutvector: 1024 
Real: 0.408523	Estimated: 0.300313	cutvector: 940 	cutvector: 1024 
Real: 0.399855	Estimated: 0.207007	cutvector: 84 	cutvector: 1024 
Real: 0.351072	Estimated: 0.331017	cutvector: 940 	cutvector: 1024 
Real: 0.351008	Estimated: 0.274966	cutvector: 323 	cutvector: 1024 
Real: 0.388143	Estimated: 0.320838	cutvector: 940 	cutvector: 1024 
Real: 0.378348	Estimated: 0.335491	cutvector: 940 	cutvector: 1024 
Real: 0.413771	Estimated: 0.312849	cutvector: 899 	cutvector: 1024 
Real: 0.394559	Estimated: 0.291707	cutvector: 84 	cutvector: 1024 
Real: 0.433779	Estimated: 0.33909	cutvector: 940 	cutvector: 1024 
Real: 0.398118	Estimated: 0.328157	cutvector: 940 	cutvector: 1024 
Real: 0.421845	Estimated: 0.345512	cutvector: 927 	cutvector: 1024 
Real: 0.379879	Estimated: 0.362093	cutvector: 940 	cutvector: 1024 
Real: 0.321334	Estimated: 0.332744	cutvector: 796 	cutvector: 1024 
Real: 0.602134	Estimated: 0.298994	cutvector: 84 	cutvector: 1024 
Real: 0.463559	Estimated: 0.322403	cutvector: 687 	cutvector: 1024 
Real: 0.35901	Estimated: 0.34162	cutvector: 850 	cutvector: 1024 
Real: 0.328853	Estimated: 0.342959	cutvector: 904 	cutvector: 1024 
Real: 0.438402	Estimated: 0.332011	cutvector: 922 	cutvector: 1024 
Real: 0.371476	Estimated: 0.357509	cutvector: 931 	cutvector: 1024 
Real: 0.494004	Estimated: 0.366253	cutvector: 925 	cutvector: 1024 
Real: 0.453105	Estimated: 0.396127	cutvector: 914 	cutvector: 1024 
Real: 0.384271	Estimated: 0.402976	cutvector: 940 	cutvector: 1024 
Real: 0.43954	Estimated: 0.378537	cutvector: 940 	cutvector: 1024 
Real: 0.470299	Estimated: 0.357261	cutvector: 938 	cutvector: 1024 
Real: 0.392881	Estimated: 0.390019	cutvector: 940 	cutvector: 1024 
Real: 0.432016	Estimated: 0.387366	cutvector: 926 	cutvector: 1024 
Real: 0.298506	Estimated: 0.400953	cutvector: 940 	cutvector: 1024 
Real: 0.320978	Estimated: 0.367286	cutvector: 940 	cutvector: 1024 
Real: 0.389926	Estimated: 0.358002	cutvector: 940 	cutvector: 1024 
Real: 0.437173	Estimated: 0.355679	cutvector: 940 	cutvector: 1024 
Real: 0.344185	Estimated: 0.343121	cutvector: 899 	cutvector: 1024 
Real: 0.472411	Estimated: 0.322193	cutvector: 84 	cutvector: 1024 
Real: 0.389698	Estimated: 0.328191	cutvector: 897 	cutvector: 1024 
Real: 0.307904	Estimated: 0.339591	cutvector: 940 	cutvector: 1024 
Real: 0.525977	Estimated: 0.322337	cutvector: 84 	cutvector: 1024 
Real: 0.286496	Estimated: 0.315311	cutvector: 924 	cutvector: 1024 
Real: 0.297414	Estimated: 0.315548	cutvector: 940 	cutvector: 1024 
Real: 0.323224	Estimated: 0.308591	cutvector: 940 	cutvector: 1024 
Real: 0.458028	Estimated: 0.309319	cutvector: 940 	cutvector: 1024 
Real: 0.29552	Estimated: 0.316238	cutvector: 940 	cutvector: 1024 
Real: 0.336468	Estimated: 0.306102	cutvector: 940 	cutvector: 1024 
Real: 0.300226	Estimated: 0.316082	cutvector: 940 	cutvector: 1024 
Real: 0.361981	Estimated: 0.317967	cutvector: 940 	cutvector: 1024 
Real: 0.418538	Estimated: 0.318223	cutvector: 940 	cutvector: 1024 
Real: 0.337181	Estimated: 0.316638	cutvector: 938 	cutvector: 1024 
Real: 0.36309	Estimated: 0.338845	cutvector: 940 	cutvector: 1024 
Real: 0.326517	Estimated: 0.319955	cutvector: 932 	cutvector: 1024 
Real: 0.333487	Estimated: 0.331275	cutvector: 940 	cutvector: 1024 
Real: 0.485964	Estimated: 0.310901	cutvector: 925 	cutvector: 1024 
Real: 0.38017	Estimated: 0.323975	cutvector: 84 	cutvector: 1024 
Real: 0.388583	Estimated: 0.30855	cutvector: 837 	cutvector: 1024 
Real: 0.288426	Estimated: 0.311592	cutvector: 84 	cutvector: 1024 
Real: 0.337233	Estimated: 0.290432	cutvector: 940 	cutvector: 1024 
Real: 0.309418	Estimated: 0.283136	cutvector: 834 	cutvector: 1024 
