1.3158e+06		837.714		431.999
718449		-33776		992.298
1.043e+06		1075.35		415.09
1.3239e+06		837.208		468.358
712315		-30975.5		1016.57
1.05227e+06		1073.13		418.716
1.33069e+06		836.789		487.661
720731		-34937.6		1023.23
1.04683e+06		1074.43		424.742
1.32779e+06		836.967		494.797
725804		-37798.2		1031.01
1.05226e+06		1073.13		425.231
1.32466e+06		837.161		502.258
725152		-37406.7		1036.19
1.05299e+06		1072.96		424.228
1.32759e+06		836.98		509.583
724779		-37509.5		1044.59
1.05742e+06		1071.92		423.96
1.32377e+06		837.217		512.375
726929		-40989.2		1041.34
1.05306e+06		1072.95		427.149
1.32973e+06		836.849		515.465
725320		-39901.1		1045.18
1.04899e+06		1073.92		426.866
1.32662e+06		837.041		517.342
725993		-40350.1		1047.68
1.04764e+06		1074.24		427.329
1.32353e+06		837.232		518.541
726513		-40696		1050.31
1.04598e+06		1074.64		427.966
1.32302e+06		837.263		521.035
727098		-41108		1051.24
1.04272e+06		1075.42		428.68
1.32237e+06		837.304		524.389
727744		-41590.4		1050.14
1.03968e+06		1076.16		429.387
1.32192e+06		837.332		527.406
728248		-42018.5		1047.81
1.03944e+06		1076.22		431.409
1.32446e+06		837.174		529.39
728388		-42131.8		1047.02
1.04168e+06		1075.68		430.225
1.32302e+06		837.263		530.272
728317		-42082.9		1047.69
1.04213e+06		1075.57		430.997
728787		-42435.7		1051.24
1.32253e+06		837.294		531.799
1.04424e+06		1075.06		431.332
743694		-813.71		437.421
729238		-42781.2		1051.37
894969		15779		526.513
871918		-7938.86		442.073
728545		-42249.3		1050.9
742125		-1529		521.731
870530		-7351.82		446.175
728914		-41389.2		1051.22
890669		21603.4		517.495
870161		-7194.15		449.333
889033		24991.9		516.614
727524		-37272.9		1046.19
871389		-7669.64		458.792
728199		-40020.6		1052.32
888720		25784.5		509.779
868886		-6653.96		467.187
728659		-41236.6		1046.6
888945		25170.8		503.396
868336		-6479.05		474.059
728889		-40860.4		1049.22
885701		37181.5		497.16
868665		-6559.02		479.305
729586		-43185.8		1052.76
889771		23215.4		494.59
866853		-6069.74		485.215
729428		-43562		1054.43
891055		20869.2		487.376
867402		-6229.71		489.075
729605		-44240.8		1046.86
891802		19648.7		481.61
869008		-6656.89		495.31
729641		-43878.6		1050
895002		15761.5		476.995
869926		-7063.59		499.023
728610		-40160.8		1044.75
894187		16589.1		471.149
872544		-8061.48		502.121
728414		-41914.3		1049.08
892337		18910.1		470.029
872542		-8031.51		504.713
728394		-41842		1048.04
890791		21371.4		465.826
875056		-9273.08		510.77
728391		-41907.6		1054.9
890606		21628.4		464.371
875894		-10053.4		511.173
728014		-40545.1		1051.13
892539		18609.9		461.448
876790		-10668.3		513.093
728137		-38590.5		1055.91
892211		19056		463.354
876458		-10275.8		513.323
728776		-40757.6		1051.26
893144		17768.6		458.72
874812		-9264.57		516.551
728672		-43232.4		1055.94
891660		19795.4		455.747
874964		-9421.18		517.822
728501		-42510.5		1050.86
891574		19947.8		451.653
877126		-10821.6		519.807
728463		-44675.5		1054.22
893142		17814.2		453.121
