Real: 0.186465	Estimated: 0.147581	cutvector: 940 	cutvector: 1024 
Real: 0.232654	Estimated: 0.152471	cutvector: 940 	cutvector: 1024 
Real: 0.217491	Estimated: 0.149998	cutvector: 940 	cutvector: 1024 
Real: 0.221385	Estimated: 0.159704	cutvector: 940 	cutvector: 1024 
Real: 0.204866	Estimated: 0.164588	cutvector: 940 	cutvector: 1024 
Real: 0.210509	Estimated: 0.166107	cutvector: 940 	cutvector: 1024 
Real: 0.180249	Estimated: 0.163406	cutvector: 940 	cutvector: 1024 
Real: 0.180307	Estimated: 0.160698	cutvector: 940 	cutvector: 1024 
Real: 0.245484	Estimated: 0.1609	cutvector: 940 	cutvector: 1024 
Real: 0.197679	Estimated: 0.165763	cutvector: 940 	cutvector: 1024 
Real: 0.246768	Estimated: 0.162157	cutvector: 84 	cutvector: 1024 
Real: 0.197932	Estimated: 0.186632	cutvector: 940 	cutvector: 1024 
Real: 0.235884	Estimated: 0.176665	cutvector: 84 	cutvector: 1024 
Real: 0.204842	Estimated: 0.178868	cutvector: 323 	cutvector: 1024 
Real: 0.237636	Estimated: 0.178494	cutvector: 84 	cutvector: 1024 
Real: 0.284994	Estimated: 0.195884	cutvector: 84 	cutvector: 1024 
Real: 0.244983	Estimated: 0.206628	cutvector: 84 	cutvector: 1024 
Real: 0.247871	Estimated: 0.212416	cutvector: 84 	cutvector: 1024 
Real: 0.267514	Estimated: 0.205405	cutvector: 84 	cutvector: 1024 
Real: 0.205393	Estimated: 0.209556	cutvector: 84 	cutvector: 1024 
Real: 0.25972	Estimated: 0.209196	cutvector: 84 	cutvector: 1024 
Real: 0.207116	Estimated: 0.206071	cutvector: 84 	cutvector: 1024 
Real: 0.252701	Estimated: 0.220929	cutvector: 84 	cutvector: 1024 
Real: 0.224693	Estimated: 0.199135	cutvector: 84 	cutvector: 1024 
Real: 0.25654	Estimated: 0.23114	cutvector: 84 	cutvector: 1024 
Real: 0.214576	Estimated: 0.205384	cutvector: 84 	cutvector: 1024 
Real: 0.195769	Estimated: 0.208237	cutvector: 84 	cutvector: 1024 
Real: 0.202602	Estimated: 0.196658	cutvector: 84 	cutvector: 1024 
Real: 0.238919	Estimated: 0.212403	cutvector: 84 	cutvector: 1024 
Real: 0.19933	Estimated: 0.187738	cutvector: 84 	cutvector: 1024 
Real: 0.210895	Estimated: 0.223518	cutvector: 84 	cutvector: 1024 
Real: 0.198069	Estimated: 0.210955	cutvector: 323 	cutvector: 1024 
Real: 0.163926	Estimated: 0.210538	cutvector: 664 	cutvector: 1024 
Real: 0.186726	Estimated: 0.22209	cutvector: 940 	cutvector: 1024 
Real: 0.174979	Estimated: 0.200684	cutvector: 940 	cutvector: 1024 
Real: 0.182668	Estimated: 0.190972	cutvector: 940 	cutvector: 1024 
Real: 0.173875	Estimated: 0.185303	cutvector: 940 	cutvector: 1024 
Real: 0.174305	Estimated: 0.174887	cutvector: 897 	cutvector: 1024 
Real: 0.167108	Estimated: 0.166992	cutvector: 897 	cutvector: 1024 
Real: 0.208049	Estimated: 0.162206	cutvector: 940 	cutvector: 1024 
Real: 0.173112	Estimated: 0.157085	cutvector: 940 	cutvector: 1024 
Real: 0.173034	Estimated: 0.15815	cutvector: 940 	cutvector: 1024 
Real: 0.188344	Estimated: 0.153171	cutvector: 940 	cutvector: 1024 
Real: 0.213771	Estimated: 0.131469	cutvector: 84 	cutvector: 1024 
Real: 0.166333	Estimated: 0.161047	cutvector: 940 	cutvector: 1024 
Real: 0.177785	Estimated: 0.159368	cutvector: 940 	cutvector: 1024 
Real: 0.17722	Estimated: 0.158435	cutvector: 940 	cutvector: 1024 
Real: 0.208351	Estimated: 0.157753	cutvector: 940 	cutvector: 1024 
Real: 0.187868	Estimated: 0.153376	cutvector: 940 	cutvector: 1024 
Real: 0.185225	Estimated: 0.150413	cutvector: 940 	cutvector: 1024 
Real: 0.238309	Estimated: 0.147805	cutvector: 84 	cutvector: 1024 
Real: 0.171178	Estimated: 0.164123	cutvector: 670 	cutvector: 1024 
Real: 0.205063	Estimated: 0.168785	cutvector: 940 	cutvector: 1024 
Real: 0.171299	Estimated: 0.162816	cutvector: 682 	cutvector: 1024 
Real: 0.178392	Estimated: 0.162012	cutvector: 703 	cutvector: 1024 
Real: 0.21714	Estimated: 0.164578	cutvector: 940 	cutvector: 1024 
Real: 0.150516	Estimated: 0.16025	cutvector: 940 	cutvector: 1024 
Real: 0.181504	Estimated: 0.15395	cutvector: 940 	cutvector: 1024 
Real: 0.190027	Estimated: 0.153204	cutvector: 940 	cutvector: 1024 
Real: 0.179211	Estimated: 0.147936	cutvector: 901 	cutvector: 1024 
Real: 0.223688	Estimated: 0.153688	cutvector: 84 	cutvector: 1024 
Real: 0.189747	Estimated: 0.150616	cutvector: 923 	cutvector: 1024 
Real: 0.17926	Estimated: 0.153111	cutvector: 84 	cutvector: 1024 
Real: 0.17858	Estimated: 0.147368	cutvector: 311 	cutvector: 1024 
Real: 0.187113	Estimated: 0.151294	cutvector: 677 	cutvector: 1024 
Real: 0.185542	Estimated: 0.155877	cutvector: 940 	cutvector: 1024 
Real: 0.189661	Estimated: 0.151844	cutvector: 693 	cutvector: 1024 
Real: 0.192671	Estimated: 0.157218	cutvector: 940 	cutvector: 1024 
Real: 0.158487	Estimated: 0.150146	cutvector: 857 	cutvector: 1024 
Real: 0.192073	Estimated: 0.147671	cutvector: 887 	cutvector: 1024 
Real: 0.283285	Estimated: 0.149657	cutvector: 84 	cutvector: 1024 
Real: 0.229978	Estimated: 0.154691	cutvector: 687 	cutvector: 1024 
Real: 0.254378	Estimated: 0.163431	cutvector: 84 	cutvector: 1024 
Real: 0.201472	Estimated: 0.1864	cutvector: 940 	cutvector: 1024 
Real: 0.185937	Estimated: 0.181037	cutvector: 940 	cutvector: 1024 
Real: 0.237631	Estimated: 0.174123	cutvector: 940 	cutvector: 1024 
Real: 0.196766	Estimated: 0.167415	cutvector: 940 	cutvector: 1024 
Real: 0.186171	Estimated: 0.16962	cutvector: 940 	cutvector: 1024 
Real: 0.191488	Estimated: 0.164038	cutvector: 940 	cutvector: 1024 
Real: 0.177222	Estimated: 0.159893	cutvector: 940 	cutvector: 1024 
Real: 0.189782	Estimated: 0.151698	cutvector: 940 	cutvector: 1024 
Real: 0.198533	Estimated: 0.152479	cutvector: 940 	cutvector: 1024 
Real: 0.20077	Estimated: 0.157166	cutvector: 940 	cutvector: 1024 
Real: 0.205428	Estimated: 0.155915	cutvector: 930 	cutvector: 1024 
Real: 0.173963	Estimated: 0.162548	cutvector: 940 	cutvector: 1024 
Real: 0.20291	Estimated: 0.160974	cutvector: 901 	cutvector: 1024 
Real: 0.237903	Estimated: 0.16707	cutvector: 921 	cutvector: 1024 
Real: 0.211786	Estimated: 0.177404	cutvector: 920 	cutvector: 1024 
Real: 0.188479	Estimated: 0.179946	cutvector: 919 	cutvector: 1024 
Real: 0.190753	Estimated: 0.176284	cutvector: 930 	cutvector: 1024 
Real: 0.161904	Estimated: 0.179143	cutvector: 940 	cutvector: 1024 
Real: 0.234744	Estimated: 0.168616	cutvector: 910 	cutvector: 1024 
Real: 0.217622	Estimated: 0.177108	cutvector: 940 	cutvector: 1024 
Real: 0.193622	Estimated: 0.175346	cutvector: 912 	cutvector: 1024 
Real: 0.181108	Estimated: 0.168688	cutvector: 895 	cutvector: 1024 
Real: 0.194105	Estimated: 0.165668	cutvector: 894 	cutvector: 1024 
Real: 0.17782	Estimated: 0.167262	cutvector: 891 	cutvector: 1024 
Real: 0.178275	Estimated: 0.164004	cutvector: 894 	cutvector: 1024 
Real: 0.16501	Estimated: 0.1648	cutvector: 883 	cutvector: 1024 
Real: 0.182143	Estimated: 0.160678	cutvector: 897 	cutvector: 1024 
Real: 0.169622	Estimated: 0.163021	cutvector: 900 	cutvector: 1024 
Real: 0.212305	Estimated: 0.158231	cutvector: 895 	cutvector: 1024 
Real: 0.210191	Estimated: 0.162394	cutvector: 892 	cutvector: 1024 
Real: 0.166829	Estimated: 0.163911	cutvector: 887 	cutvector: 1024 
Real: 0.191076	Estimated: 0.165392	cutvector: 899 	cutvector: 1024 
Real: 0.167886	Estimated: 0.165488	cutvector: 905 	cutvector: 1024 
Real: 0.204622	Estimated: 0.159289	cutvector: 877 	cutvector: 1024 
Real: 0.188596	Estimated: 0.163635	cutvector: 863 	cutvector: 1024 
Real: 0.204683	Estimated: 0.167303	cutvector: 868 	cutvector: 1024 
Real: 0.201755	Estimated: 0.165911	cutvector: 845 	cutvector: 1024 
Real: 0.192857	Estimated: 0.176782	cutvector: 925 	cutvector: 1024 
Real: 0.220821	Estimated: 0.175375	cutvector: 895 	cutvector: 1024 
Real: 0.210842	Estimated: 0.181761	cutvector: 894 	cutvector: 1024 
Real: 0.170226	Estimated: 0.184774	cutvector: 891 	cutvector: 1024 
