9.56615	0 3 360  4 720 
6.36655	0 4 360  3 720 
6.56106	0 4 360  3 720 
6.47027	0 3 360  4 720 
6.38609	0 4 360  3 720 
6.32791	0 3 360  4 720 
6.42419	0 4 360  3 720 
6.48694	0 3 360  4 720 
6.52122	0 4 360  3 720 
5.78912	0 3 360  4 720 
4.89275	3.89396 3 486  4 720 
5.65268	3.71795 3 629  4 720 
5.53386	4.27192 3 636  4 720 
5.8534	3.90801 3 636  4 720 
5.5666	3.87849 3 636  4 720 
6.10997	3.40469 3 623  4 720 
5.37328	4.34639 3 636  4 720 
5.80175	3.70127 3 636  4 720 
5.60748	3.56793 3 636  4 720 
6.22364	3.57303 3 636  4 720 
5.74426	3.67335 3 626  4 720 
6.24572	3.54243 3 636  4 720 
5.04708	3.30827 3 531  4 720 
5.40149	3.62105 3 636  4 720 
5.63347	2.88367 3 513  4 720 
5.25745	3.59119 3 571  4 720 
6.18557	3.583 4 636  3 720 
4.61357	2.69117 4 398  3 720 
6.74281	3.13512 3 636  4 720 
6.62619	3.19458 4 622  3 720 
5.13416	3.55806 4 528  3 720 
6.44508	3.92863 4 636  3 720 
6.09936	2.72796 4 365  3 720 
5.46927	3.44324 4 443  3 720 
5.11767	3.82165 4 487  3 720 
5.70351	3.77742 3 617  4 720 
5.39519	4.35046 3 636  4 720 
5.79939	3.73125 3 636  4 720 
5.62335	3.80432 3 636  4 720 
5.62189	4.05851 3 636  4 720 
5.71896	3.53976 3 636  4 720 
5.66446	3.36574 3 636  4 720 
5.92947	3.6084 3 636  4 720 
5.59974	3.96798 3 636  4 720 
6.03867	3.64889 3 636  4 720 
5.56321	3.20576 3 605  4 720 
5.38243	3.62666 3 636  4 720 
5.08587	2.94347 3 564  4 720 
6.95888	3.90675 3 636  4 720 
6.19198	2.75639 4 636  3 720 
5.72608	3.81664 4 615  3 720 
5.25761	4.28048 4 636  3 720 
5.94255	3.36551 4 636  3 720 
5.49363	3.36839 4 636  3 720 
5.81726	3.80558 4 636  3 720 
5.47507	3.86957 4 636  3 720 
5.51163	3.81218 4 636  3 720 
5.71625	3.58379 4 636  3 720 
5.51973	3.70865 4 636  3 720 
5.72991	2.9173 4 636  3 720 
6.34801	2.82509 4 636  3 720 
6.05987	2.90149 4 636  3 720 
6.48539	2.79441 4 636  3 720 
6.50778	1.98221 4 0  3 720 
6.63183	1.941 4 0  3 720 
6.89821	1.93768 4 0  3 720 
