2	232457		1765.54		445.457	2.35591e+06
3	232211		1768.22		408.323	2.64036e+06
4	237057		1712.99		378.585	2.62752e+06
5	237737		1706.01		363.782	2.73152e+06
6	236202		1723		353.039	2.7109e+06
7	236323		1721.63		349.091	2.72263e+06
8	235398		1732.07		343.745	2.73831e+06
9	237443		1709.74		341.214	2.69791e+06
10	238596		1698.46		340.094	2.69117e+06
11	238914		1695.54		340.041	2.71132e+06
12	239549		1687.62		335.479	2.73744e+06
13	238128		1698.49		334.024	2.75094e+06
14	239847		1678.48		331.817	2.72105e+06
15	237772		1690.7		332.361	2.72774e+06
16	237175		1696.19		332.377	2.76327e+06
17	328037		609.961		332.795	2.76885e+06
18	326331		614.698		331.971	2.77506e+06
19	333712		592.148		333.108	2.79008e+06
20	318763		636.434		331.23	2.79706e+06
21	235891		1706.89		331.953	2.77676e+06
22	236549		1696.93		331.666	2.49911e+06
23	237232		1698.95		332.906	2.24924e+06
24	237939		1688.55		333.15	2.02435e+06
25	236781		1694.18		341.453	1.82195e+06
26	236598		1695.96		346.629	1.6398e+06
27	235871		1701.94		339.365	1.47584e+06
28	234482		1725.13		331.145	1.32829e+06
29	234453		1725.54		342.701	1.1955e+06
30	234283		1729.06		335.11	1.07598e+06
31	233912		1727.68		331.655	968411
32	234677		1715.19		329.131	871600
33	234711		1714.85		330.182	784474
34	235128		1710.12		330.089	706060
35	235472		1706.73		329.465	635486
36	235911		1700.74		328.039	571969
37	235575		1690.69		331.572	514808
38	235746		1687.38		329.721	463359
39	235903		1695.21		332.044	417058
40	236356		1690.69		331.543	375385
41	236739		1688.37		331.774	337880
42	237334		1679.08		328.029	304121
43	236381		1685.67		329.411	273743
44	236898		1677.05		329.011	246402
45	237241		1675.11		328.346	221794
46	236471		1684.3		328.559	199647
47	236737		1683.44		328.818	179716
48	236639		1684.49		328.152	161776
49	236276		1680.59		330.502	145634
50	287073		801.608		327.29	131100
50	286872		803.961		329.672	118025
50	297055		745.373		328.767	106255
50	301165		718.876		329.891	95663.4
50	295302		747.077		326.989	86127.2
50	294825		749.218		327.515	77547.7
50	296645		737.858		328.439	69826.6
50	296637		744.484		329.91	62878.2
50	293618		758.995		330.403	56623.9
50	284474		819.533		330.879	50995
50	273999		898.431		334.455	45932.2
50	273112		903.467		345.51	41383.5
50	269783		934.693		356.246	37290.4
50	264144		996.508		367.661	33608.4
50	258638		1066.64		377.596	30294.3
50	245869		1294.88		380.402	27305.4
50	245992		1291.6		384.306	24616.8
50	243029		1356.01		379.297	22188.6
50	243442		1323.94		375.107	20003.4
50	240875		1401.45		370.293	18035.8
50	235198		1646.16		367.133	16266.1
50	245592		1304.4		364.093	14673.1
50	241404		1430.61		361.75	13239.9
50	247761		1210.83		360.247	11950.6
50	237576		1492.12		358.526	10789.8
50	232619		1702.19		356.158	9744.33
50	242601		1347.61		352.039	8801.39
50	232932		1597.98		345.478	7949.9
50	242502		1347.54		343.72	7187.69
50	245448		1282.06		340.816	6500.39
50	243523		1326.18		356.66	5900.28
50	236048		1572.43		352.736	5341.99
50	228281		1930.52		352.383	4842.71
50	222932		2270.92		348.255	4389.55
50	217480		2931.11		346.594	3983.76
50	231377		1674.39		341.821	3615.27
50	234011		1550.9		341.271	3287.38
50	231150		1681.84		338.513	2990.01
50	231150		1681.84		339.41	2725.76
50	232237		1627.31		336.459	2484.17
50	219253		2579.78		339.308	2272.25
50	219253		2579.78		335.707	2075.35
50	215147		3157.23		336.236	1901.92
50	215147		3157.23		333.502	1742.61
50	215386		3412.28		334.012	1602.21
50	215033		3508.02		334.409	1475.79
50	216370		3330.13		334.264	1361.51
50	218739		2947.53		333.764	1258.28
50	217764		3022.61		332.866	1164.93
50	214204		4050.48		333.238	1082.1
50	210414		5339.06		333.88	1007.85
50	213074		4289.93		332.901	939.478
50	208146		6953.37		333.643	879.562
50	208226		7668.83		334.813	826.141
50	210561		5392.57		337.143	779.337
50	214805		3880.95		334.787	732.762
50	212411		4862.61		335.42	693.598
50	204076		17707.1		340.018	662.378
50	207249		8236.66		350.285	640.409
50	203927		6895.44		358.917	620.028
50	210102		3259.9		366.547	601.547
50	215255		2446.64		370.291	581.791
50	207940		3821.91		378.008	568.358
50	214077		2622.14		383.528	554.843
50	212427		2866.87		384.046	538.23
50	210357		3059.2		386.216	524.981
50	215181		2357.39		387.949	512.837
50	208296		3246.64		384.817	497.217
50	224159		1565.08		393.938	495.098
50	213750		2115.58		389.075	480.119
50	230344		1239.56		389.97	471.909
50	218241		1605.49		387.165	460.911
50	225297		1275.14		391.993	458.364
50	217186		1510.76		397.45	457.184
50	230914		1067.95		405.559	459.319
50	223622		1196.6		405.657	454.042
50	227178		1110.19		405.803	449.349
50	217251		1355.28		402.923	442.115
50	222391		1162.18		408.85	444.122
50	214689		1325.49		411.399	443.144
50	209248		1480.79		412.076	440.646
50	211324		1355.27		402.077	427.79
50	217678		1160.37		388.493	411.636
50	211810		1298.53		389.289	410.117
50	229900		888.136		394.604	413.35
50	205175		1432.63		394.81	411.68
50	215594		1080.89		403.433	418.617
50	201345		1497.73		400.331	413.996
50	212187		1112.67		389.556	401.854
50	193215		1887.69		392.675	403.744
50	224980		835.759		395.878	405.84
50	196842		1477.69		398.334	407.3
50	225429		785.657		401.953	410.022
50	199181		1252.22		399.793	407.055
50	204135		1062.76		404.368	410.904
50	208897		931.77		401.807	407.69
50	202077		1067.4		388.222	393.516
50	203593		1029.59		374.448	379.213
50	200602		1060.02		376.32	380.609
50	204158		938.507		377.029	380.888
50	220025		690.113		385.8	389.274
