4.31715	0 3 360  4 720 
2.24984	0 4 360  3 720 
2.38624	0 4 360  3 720 
2.78418	0 4 360  3 720 
2.768	0 3 360  4 720 
2.49394	0 4 360  3 720 
2.3578	0 4 360  3 720 
2.64981	0 3 360  4 720 
2.29872	0 4 360  3 720 
2.48136	0 4 360  3 720 
2.50747	1.69785 4 0  3 720 
2.77245	1.6605 4 629  3 720 
1.67909	1.33657 4 478  3 720 
1.75349	1.25436 4 502  3 720 
1.82265	1.31434 4 574  3 720 
2.81363	1.24933 4 617  3 720 
2.13543	1.83954 4 0  3 720 
2.42939	1.49237 4 620  3 720 
1.99423	1.27755 4 568  3 720 
2.0721	1.39521 4 526  3 720 
2.07991	1.49139 4 573  3 720 
2.22599	1.41716 4 527  3 720 
2.18704	1.53133 4 629  3 720 
2.80496	1.81197 4 636  3 720 
2.96997	1.4106 3 636  4 720 
2.85364	1.37573 4 636  3 720 
2.929	1.39899 3 636  4 720 
2.87363	1.43768 4 612  3 720 
2.14113	1.55654 3 636  4 720 
2.25893	1.43407 3 636  4 720 
1.94213	1.28685 3 546  4 720 
2.24837	1.41736 3 604  4 720 
1.9559	1.53065 3 542  4 720 
2.10827	1.51448 3 580  4 720 
2.82898	1.57597 3 624  4 720 
2.31072	1.63592 3 518  4 720 
2.59418	1.76066 3 636  4 720 
2.53517	1.28759 3 431  4 720 
1.80036	1.58209 4 518  3 720 
2.31036	1.43781 4 586  3 720 
1.78621	1.31545 4 498  3 720 
2.32312	1.32629 4 575  3 720 
2.55969	1.2863 3 605  4 720 
2.38249	1.42498 3 499  4 720 
2.04893	1.65142 4 510  3 720 
2.29094	1.45046 4 563  3 720 
2.80361	1.62538 3 636  4 720 
2.85021	1.58392 4 636  3 720 
2.90021	1.48473 3 619  4 720 
2.15095	1.67939 4 602  3 720 
2.1623	1.52874 4 598  3 720 
2.17438	1.3143 4 583  3 720 
2.30729	1.4531 4 636  3 720 
2.59632	1.45415 4 636  3 720 
2.70705	1.58873 4 636  3 720 
1.89737	1.24346 4 584  3 720 
2.48508	1.22124 4 621  3 720 
2.14317	1.68106 4 636  3 720 
2.50139	1.35143 4 596  3 720 
2.21361	1.57467 4 636  3 720 
2.23256	1.35336 4 601  3 720 
2.46847	1.39227 4 636  3 720 
2.31681	1.39953 4 633  3 720 
2.25103	1.86274 4 636  3 720 
2.29265	1.65441 4 636  3 720 
2.12671	1.2307 3 543  4 720 
2.26457	1.43603 3 437  4 720 
3.04861	1.61454 4 636  3 720 
2.93513	1.40187 3 636  4 720 
2.96776	1.50501 4 626  3 720 
2.72545	1.72395 3 607  4 720 
3.01797	1.67679 4 636  3 720 
2.31545	1.21527 4 435  3 720 
2.73876	1.54544 3 620  4 720 
2.69976	1.72018 4 636  3 720 
2.21762	1.23236 4 424  3 720 
2.12495	1.47012 3 636  4 720 
1.81125	1.24623 3 490  4 720 
1.87367	1.35789 3 587  4 720 
2.70593	1.44089 3 632  4 720 
2.14334	1.53168 3 501  4 720 
3.13298	1.41118 3 621  4 720 
2.74866	1.83886 4 512  3 720 
1.97487	1.32839 4 562  3 720 
2.4254	1.10144 4 542  3 720 
2.26789	1.72443 4 636  3 720 
3.74481	1.57323 4 636  3 720 
2.67053	1.15633 4 507  3 720 
2.75758	1.73978 3 636  4 720 
2.38801	1.23212 3 465  4 720 
1.66946	1.41672 3 504  4 720 
2.63172	1.27954 3 636  4 720 
2.29222	1.20289 3 515  4 720 
2.33788	1.43944 3 505  4 720 
2.36351	1.38933 3 459  4 720 
