9.5956	0 3 360  4 720 
6.66177	0 4 360  3 720 
6.54911	0 4 360  3 720 
6.50717	0 3 360  4 720 
5.88805	0 4 360  3 720 
5.35948	0 4 360  3 720 
5.38473	0 4 360  3 720 
6.54078	0 4 360  3 720 
5.28096	0 4 360  3 720 
6.75666	0 3 360  4 720 
5.67636	5.3801 3 508  4 720 
5.54078	5.54195 3 506  4 720 
5.61525	5.27121 3 511  4 720 
5.5247	5.08385 3 487  4 720 
5.91513	5.15774 3 538  4 720 
6.15028	5.68897 3 531  4 720 
5.81583	5.97642 3 577  4 720 
5.99729	4.44171 4 505  3 720 
5.30298	5.66404 3 527  4 720 
5.5518	4.77565 3 509  4 720 
4.7866	4.56167 3 479  4 720 
4.19113	4.09278 3 486  4 720 
4.91849	3.90928 3 501  4 720 
5.42424	4.37511 4 616  3 720 
5.65507	4.45019 4 581  3 720 
6.77466	4.49454 3 606  4 720 
4.4643	4.41084 3 476  4 720 
4.10362	4.14674 3 495  4 720 
5.55817	3.90474 3 514  4 720 
5.22558	4.84516 3 535  4 720 
5.26791	4.87858 3 545  4 720 
5.87379	4.97923 3 583  4 720 
6.31767	4.24068 4 524  3 720 
4.99403	4.86367 4 501  3 720 
5.85881	4.93025 4 511  3 720 
6.08731	5.53953 4 534  3 720 
6.16209	5.84621 4 536  3 720 
6.36976	5.55854 3 597  4 720 
5.49273	5.11281 4 464  3 720 
5.09241	5.22263 3 542  4 720 
5.14535	4.9557 3 588  4 720 
5.48504	4.39406 3 553  4 720 
5.06636	4.36728 4 455  3 720 
4.68797	4.4032 4 476  3 720 
4.93765	3.9009 4 461  3 720 
4.92243	4.24575 4 497  3 720 
4.17315	3.87467 4 489  3 720 
5.92839	3.59939 4 544  3 720 
4.90878	5.62904 4 560  3 720 
5.44075	4.16342 4 511  3 720 
5.42566	4.97478 4 525  3 720 
5.4658	4.99535 4 531  3 720 
5.54003	4.76576 4 520  3 720 
6.27558	4.88567 3 591  4 720 
5.64826	3.99195 3 436  4 720 
5.38584	4.71709 3 533  4 720 
5.82756	4.6903 3 597  4 720 
6.37713	5.08408 3 572  4 720 
6.22641	4.72506 4 619  3 720 
5.45158	5.88808 4 608  3 720 
5.48709	4.42224 4 540  3 720 
5.29422	4.89706 4 523  3 720 
5.4387	5.01548 4 538  3 720 
5.87111	5.10997 4 538  3 720 
4.98303	5.05913 4 549  3 720 
5.46402	4.99909 4 575  3 720 
5.00909	4.23633 4 488  3 720 
5.6255	4.75135 3 557  4 720 
5.78776	3.65205 4 578  3 720 
5.01063	4.74149 4 529  3 720 
6.47386	4.08526 4 507  3 720 
5.00166	4.86025 3 557  4 720 
5.61927	3.62447 4 555  3 720 
5.72299	4.01696 3 568  4 720 
5.20935	3.63135 4 537  3 720 
4.92559	4.3193 4 523  3 720 
4.92919	4.46908 4 528  3 720 
4.86402	4.14944 4 501  3 720 
5.65116	4.34862 4 558  3 720 
5.80714	4.76167 3 440  4 720 
5.15779	4.69813 4 523  3 720 
5.67104	4.70671 4 518  3 720 
6.16496	4.7205 4 512  3 720 
5.72485	5.97274 3 569  4 720 
4.86127	3.54753 4 552  3 720 
5.30391	3.4244 4 466  3 720 
5.34763	4.4234 4 530  3 720 
5.33432	4.93479 4 563  3 720 
5.23525	4.96331 3 473  4 720 
5.5688	4.517 4 535  3 720 
5.71789	5.05896 4 588  3 720 
6.06332	5.18158 4 533  3 720 
5.68879	4.99884 4 529  3 720 
6.04705	5.64295 4 544  3 720 
6.19467	5.81328 4 563  3 720 
5.82455	4.89414 3 512  4 720 
5.50964	5.30628 3 496  4 720 
6.62621	4.42715 3 608  4 720 
5.62734	4.62394 3 465  4 720 
6.00345	5.11826 3 533  4 720 
5.85654	5.85103 3 581  4 720 
7.46987	4.33173 4 593  3 720 
5.37667	5.14122 3 515  4 720 
4.99168	4.70883 3 528  4 720 
5.26475	4.88404 3 562  4 720 
5.63382	4.25106 4 431  3 720 
5.09006	4.89189 4 474  3 720 
4.91484	4.71887 4 473  3 720 
5.48784	4.70199 4 498  3 720 
5.62646	4.96902 4 505  3 720 
5.08897	4.8406 4 484  3 720 
5.27382	4.90622 4 499  3 720 
5.93877	5.08511 4 505  3 720 
5.45492	5.45251 3 544  4 720 
5.55398	5.20886 3 581  4 720 
5.27525	4.37983 3 486  4 720 
5.37284	4.81946 3 492  4 720 
5.41612	5.10183 3 506  4 720 
5.29864	4.79861 3 518  4 720 
5.21214	4.93863 3 559  4 720 
5.35149	4.41793 3 533  4 720 
4.99839	4.83861 3 560  4 720 
5.31486	4.29688 4 470  3 720 
6.24208	4.86563 4 479  3 720 
5.03324	4.81165 4 485  3 720 
5.90415	4.57322 3 584  4 720 
5.59098	4.65497 4 498  3 720 
5.90269	4.9055 3 572  4 720 
5.01239	4.78927 4 472  3 720 
5.42784	4.61103 4 475  3 720 
5.06493	4.52745 4 485  3 720 
4.80311	4.60692 4 493  3 720 
4.64443	4.40541 4 495  3 720 
4.85248	4.16763 4 487  3 720 
4.81224	4.44733 4 478  3 720 
4.86313	4.24017 4 473  3 720 
4.55719	4.37341 4 472  3 720 
4.83316	4.29827 4 470  3 720 
4.83685	4.30621 4 470  3 720 
4.95788	4.40938 4 463  3 720 
4.42321	4.67781 4 483  3 720 
5.28968	4.11991 4 467  3 720 
4.47883	4.84499 4 498  3 720 
4.73762	4.06731 4 487  3 720 
4.80912	4.38164 4 480  3 720 
4.88545	4.48087 4 495  3 720 
5.85623	4.29079 4 475  3 720 
5.89012	6.05008 3 442  4 720 
5.37456	4.86066 3 514  4 720 
5.1584	4.96203 3 451  4 720 
5.17818	4.07223 4 449  3 720 
4.58482	4.6686 4 487  3 720 
4.81167	4.17407 4 468  3 720 
4.77143	4.46852 4 474  3 720 
5.16546	4.14389 4 448  3 720 
5.00579	4.71313 4 478  3 720 
5.01692	4.19615 4 420  3 720 
4.88083	4.35749 4 481  3 720 
5.08159	4.10327 4 468  3 720 
5.55373	4.51545 4 469  3 720 
5.9413	5.61916 3 454  4 720 
5.18309	5.32759 3 521  4 720 
4.99706	4.82496 3 447  4 720 
4.93693	4.76384 3 454  4 720 
5.08271	4.58556 3 491  4 720 
5.16653	4.55112 3 443  4 720 
5.41508	5.00747 3 417  4 720 
5.08078	3.98069 3 473  4 720 
6.09749	4.46683 3 410  4 720 
5.86008	4.70378 4 357  3 720 
5.01239	4.58251 4 463  3 720 
4.85728	4.76305 4 449  3 720 
5.0611	4.53751 4 443  3 720 
5.26148	4.58201 4 431  3 720 
5.02983	4.70234 4 434  3 720 
5.02104	4.72877 4 423  3 720 
5.08151	4.56883 4 403  3 720 
6.41658	4.09606 4 449  3 720 
4.62295	6.04856 3 385  4 720 
4.70471	3.86233 4 402  3 720 
5.01569	4.25022 4 455  3 720 
4.9721	4.74622 4 438  3 720 
5.05702	4.56173 4 458  3 720 
5.0659	4.77328 4 458  3 720 
4.91773	4.70994 4 485  3 720 
5.84749	4.2911 4 443  3 720 
5.37467	5.22328 4 510  3 720 
6.11165	4.73501 4 426  3 720 
4.47402	4.64555 3 421  4 720 
4.82769	4.23238 3 428  4 720 
4.91903	4.38284 3 483  4 720 
4.69533	4.54578 4 491  3 720 
5.68338	4.36845 4 485  3 720 
5.14739	4.25421 4 462  3 720 
4.76893	5.06211 4 479  3 720 
5.07445	4.41436 4 461  3 720 
4.95176	4.90954 4 471  3 720 
5.52682	4.24023 4 503  3 720 
5.98543	4.91259 3 366  4 720 
6.19323	4.92097 3 461  4 720 
5.23241	5.83062 4 379  3 720 
4.87855	4.24438 4 484  3 720 
6.34451	4.31574 4 452  3 720 
5.82711	5.3956 3 404  4 720 
4.83253	5.27465 4 527  3 720 
5.24007	4.67617 4 524  3 720 
6.21509	5.15348 4 600  3 720 
6.80205	5.06466 3 359  4 720 
5.27006	5.54301 4 524  3 720 
4.01893	4.59887 4 474  3 720 
4.62715	3.77032 4 494  3 720 
5.04483	4.39036 4 494  3 720 
4.79002	4.58307 4 478  3 720 
5.23002	4.32594 4 463  3 720 
4.83365	4.84039 4 498  3 720 
4.72531	4.40941 4 479  3 720 
4.69954	4.4008 4 480  3 720 
4.74015	4.34806 4 474  3 720 
4.70239	4.40223 4 476  3 720 
5.17142	4.48337 4 480  3 720 
4.90953	4.43592 4 488  3 720 
4.88792	4.40653 4 486  3 720 
4.71447	4.55367 4 486  3 720 
4.79603	4.3004 4 483  3 720 
4.79899	4.48716 4 478  3 720 
4.99713	4.39475 4 468  3 720 
4.81782	4.48928 4 473  3 720 
5.35921	4.27249 4 466  3 720 
4.57651	4.75242 4 501  3 720 
5.3746	4.25766 4 498  3 720 
4.97016	4.49196 4 483  3 720 
5.06057	4.62362 4 489  3 720 
4.84053	4.30387 4 471  3 720 
4.86876	4.57634 4 478  3 720 
4.72711	4.49047 4 476  3 720 
4.83139	4.33051 4 478  3 720 
4.84194	4.21592 4 475  3 720 
5.47598	4.35778 4 469  3 720 
4.70841	4.47056 4 476  3 720 
4.88061	4.5021 4 483  3 720 
4.893	4.41032 4 483  3 720 
5.24279	4.21521 4 479  3 720 
