3.9181	0 3 360  4 720 
2.82029	0 4 360  3 720 
2.76694	0 4 360  3 720 
3.49648	0 3 360  4 720 
2.44746	0 3 360  4 720 
2.26989	0 3 360  4 720 
2.45027	0 3 360  4 720 
2.67252	0 3 360  4 720 
2.60688	0 3 360  4 720 
2.50788	0 3 360  4 720 
2.26081	1.70029 3 636  4 720 
2.18053	1.5986 3 636  4 720 
2.25186	1.35729 3 604  4 720 
2.02968	1.44624 3 636  4 720 
2.33369	1.16074 3 635  4 720 
2.06377	1.52878 3 636  4 720 
2.29912	1.32135 3 636  4 720 
2.16881	1.25343 3 636  4 720 
2.13313	1.32575 3 636  4 720 
2.93786	1.62732 4 0  3 720 
3.04355	1.59009 4 0  3 720 
6.03116	1.59714 4 0  3 720 
3.13893	1.60227 4 0  3 720 
3.1051	1.61851 4 0  3 720 
3.09529	1.61918 4 0  3 720 
3.07695	1.61722 4 0  3 720 
3.04627	1.61674 4 0  3 720 
3.01614	1.61535 4 0  3 720 
3.09937	1.61197 4 0  3 720 
2.96686	1.61105 4 0  3 720 
3.14239	1.60951 4 0  3 720 
3.07102	1.6138 4 0  3 720 
3.05422	1.6193 4 0  3 720 
3.02188	1.61489 4 0  3 720 
3.10273	1.61118 4 0  3 720 
3.02446	1.61272 4 0  3 720 
3.09999	1.61257 4 0  3 720 
3.03571	1.61351 4 0  3 720 
3.10326	1.61338 4 0  3 720 
3.06122	1.61372 4 0  3 720 
3.1373	1.61366 4 0  3 720 
3.1615	1.621 4 0  3 720 
2.10858	1.74998 3 0  4 720 
2.44516	1.40531 3 636  4 720 
2.23102	1.43159 3 0  4 720 
2.33808	1.36208 3 0  4 720 
2.34	1.36394 3 0  4 720 
2.47622	1.37289 3 0  4 720 
2.35997	1.41459 3 0  4 720 
2.01726	1.37516 3 0  4 720 
2.2739	1.36627 3 0  4 720 
2.17097	1.37714 3 0  4 720 
2.42173	1.36158 3 0  4 720 
2.25836	1.37907 3 0  4 720 
2.44904	1.36137 3 0  4 720 
2.13363	1.37202 3 0  4 720 
2.31382	1.35276 3 0  4 720 
2.2571	1.37073 3 0  4 720 
2.37718	1.35953 3 0  4 720 
2.19598	1.36295 3 0  4 720 
2.3174	1.36765 3 0  4 720 
2.36119	1.36948 3 0  4 720 
2.25375	1.37022 3 0  4 720 
2.34421	1.36962 3 0  4 720 
2.2146	1.36336 3 0  4 720 
2.33719	1.36158 3 0  4 720 
2.29044	1.3632 3 0  4 720 
2.33859	1.36023 3 0  4 720 
2.27864	1.36998 3 0  4 720 
2.36077	1.3682 3 0  4 720 
2.27965	1.36191 3 0  4 720 
2.3825	1.36957 3 0  4 720 
2.30174	1.37068 3 0  4 720 
2.36764	1.37014 3 0  4 720 
2.31591	1.36273 3 0  4 720 
2.39955	1.36058 3 0  4 720 
2.23324	1.3725 3 0  4 720 
2.35263	1.36989 3 0  4 720 
2.29675	1.37157 3 0  4 720 
2.26602	1.36116 3 0  4 720 
2.33032	1.37202 3 0  4 720 
2.55959	1.37103 3 0  4 720 
2.25408	1.43651 3 0  4 720 
2.41092	1.36951 3 0  4 720 
2.19883	1.37185 3 0  4 720 
2.38022	1.37073 3 0  4 720 
2.25301	1.36153 3 0  4 720 
2.38627	1.37141 3 0  4 720 
2.22447	1.36057 3 0  4 720 
2.45562	1.36912 3 0  4 720 
2.19774	1.36242 3 0  4 720 
2.39369	1.3701 3 0  4 720 
2.21975	1.37021 3 0  4 720 
2.34496	1.37032 3 0  4 720 
2.32774	1.37071 3 0  4 720 
2.31735	1.36909 3 0  4 720 
2.31973	1.3692 3 0  4 720 
2.31789	1.37355 3 0  4 720 
2.34883	1.37189 3 0  4 720 
2.33122	1.37222 3 0  4 720 
2.27968	1.36 3 0  4 720 
2.31328	1.37128 3 0  4 720 
2.28409	1.37003 3 0  4 720 
2.37619	1.36921 3 0  4 720 
2.23434	1.36392 3 0  4 720 
2.34032	1.36965 3 0  4 720 
2.23127	1.37189 3 0  4 720 
2.36911	1.36971 3 0  4 720 
2.20124	1.36272 3 0  4 720 
2.31764	1.36806 3 0  4 720 
2.32543	1.37124 3 0  4 720 
2.33884	1.37088 3 0  4 720 
2.26155	1.36241 3 0  4 720 
2.3585	1.35983 3 0  4 720 
2.26797	1.36194 3 0  4 720 
2.14034	1.36031 3 0  4 720 
2.24658	1.36277 3 0  4 720 
2.42691	1.37032 3 0  4 720 
2.21308	1.36506 3 0  4 720 
2.37962	1.3696 3 0  4 720 
2.23617	1.36279 3 0  4 720 
2.3434	1.35985 3 0  4 720 
2.28336	1.36242 3 0  4 720 
2.35942	1.36241 3 0  4 720 
2.26536	1.37303 3 0  4 720 
2.37582	1.371 3 0  4 720 
2.22596	1.36104 3 0  4 720 
2.35271	1.37034 3 0  4 720 
2.31935	1.36437 3 0  4 720 
2.22696	1.36535 3 0  4 720 
2.19473	1.35993 3 0  4 720 
2.46735	1.3759 3 0  4 720 
2.41199	1.44111 3 0  4 720 
2.12657	1.41701 3 0  4 720 
2.4073	1.37042 3 0  4 720 
2.32921	1.47396 3 0  4 720 
2.31734	1.43997 3 0  4 720 
2.41746	1.36746 3 0  4 720 
2.29996	1.36943 3 0  4 720 
2.23225	1.42187 3 0  4 720 
2.42565	1.35608 3 0  4 720 
2.46048	1.4087 3 0  4 720 
2.30518	1.36546 3 0  4 720 
2.36476	1.36288 3 0  4 720 
2.30365	1.3627 3 0  4 720 
2.3397	1.36239 3 0  4 720 
2.31736	1.36211 3 0  4 720 
2.32438	1.36265 3 0  4 720 
2.25106	1.36178 3 0  4 720 
2.22842	1.36239 3 0  4 720 
2.2382	1.35978 3 0  4 720 
2.37274	1.37252 3 0  4 720 
2.28445	1.37321 3 0  4 720 
2.31974	1.37023 3 0  4 720 
2.24107	1.36105 3 0  4 720 
2.3227	1.35928 3 0  4 720 
2.32767	1.37068 3 0  4 720 
2.35641	1.37172 3 0  4 720 
2.21756	1.36145 3 0  4 720 
2.33564	1.36084 3 0  4 720 
2.3145	1.37294 3 0  4 720 
2.38022	1.36315 3 0  4 720 
2.25471	1.37076 3 0  4 720 
2.37987	1.36944 3 0  4 720 
2.23575	1.36008 3 0  4 720 
2.30473	1.37153 3 0  4 720 
2.35524	1.36481 3 0  4 720 
2.2544	1.363 3 0  4 720 
2.38702	1.36298 3 0  4 720 
2.24341	1.36358 3 0  4 720 
2.36366	1.37309 3 0  4 720 
2.32273	1.37335 3 0  4 720 
2.3825	1.37405 3 0  4 720 
2.34403	1.3631 3 0  4 720 
2.29922	1.3614 3 0  4 720 
2.43497	1.37283 3 0  4 720 
2.21432	1.36295 3 0  4 720 
2.41186	1.37161 3 0  4 720 
2.27634	1.36342 3 0  4 720 
2.37123	1.35983 3 0  4 720 
2.30887	1.37414 3 0  4 720 
2.41804	1.36088 3 0  4 720 
2.20947	1.36177 3 0  4 720 
2.26931	1.36277 3 0  4 720 
2.32244	1.36101 3 0  4 720 
2.36506	1.36147 3 0  4 720 
2.30223	1.36249 3 0  4 720 
2.35791	1.36262 3 0  4 720 
2.19174	1.36163 3 0  4 720 
2.41103	1.36207 3 0  4 720 
2.21203	1.36321 3 0  4 720 
2.33947	1.37086 3 0  4 720 
2.32455	1.36326 3 0  4 720 
2.36334	1.36264 3 0  4 720 
2.26372	1.36289 3 0  4 720 
2.39562	1.36317 3 0  4 720 
2.26992	1.36165 3 0  4 720 
2.3407	1.36424 3 0  4 720 
2.32515	1.37449 3 0  4 720 
2.33774	1.37284 3 0  4 720 
2.31649	1.37379 3 0  4 720 
2.40286	1.36274 3 0  4 720 
2.29504	1.36306 3 0  4 720 
2.36395	1.3625 3 0  4 720 
2.23557	1.36161 3 0  4 720 
2.37508	1.37168 3 0  4 720 
2.25729	1.36125 3 0  4 720 
2.29016	1.37014 3 0  4 720 
2.31687	1.372 3 0  4 720 
2.26913	1.36138 3 0  4 720 
2.36649	1.3595 3 0  4 720 
2.24913	1.36242 3 0  4 720 
2.30117	1.36976 3 0  4 720 
2.30376	1.36076 3 0  4 720 
2.30491	1.36259 3 0  4 720 
2.36421	1.37295 3 0  4 720 
2.26146	1.37496 3 0  4 720 
2.24442	1.36257 3 0  4 720 
2.2521	1.36261 3 0  4 720 
2.38987	1.36117 3 0  4 720 
2.25191	1.36296 3 0  4 720 
2.34766	1.36204 3 0  4 720 
2.29055	1.36088 3 0  4 720 
2.33375	1.36283 3 0  4 720 
2.23176	1.36058 3 0  4 720 
2.34681	1.37118 3 0  4 720 
2.30632	1.37338 3 0  4 720 
2.31612	1.36305 3 0  4 720 
2.26115	1.37316 3 0  4 720 
2.3113	1.37096 3 0  4 720 
2.27146	1.37371 3 0  4 720 
2.35732	1.36119 3 0  4 720 
2.25393	1.3728 3 0  4 720 
2.4309	1.37206 3 0  4 720 
2.24165	1.36419 3 0  4 720 
2.37796	1.37088 3 0  4 720 
2.2464	1.36265 3 0  4 720 
2.36849	1.3599 3 0  4 720 
2.23793	1.36187 3 0  4 720 
2.36123	1.36129 3 0  4 720 
2.29831	1.36164 3 0  4 720 
2.32747	1.37241 3 0  4 720 
2.23202	1.36144 3 0  4 720 
2.48	1.36947 3 0  4 720 
2.1704	1.36392 3 0  4 720 
2.30587	1.35915 3 0  4 720 
2.35094	1.36208 3 0  4 720 
2.33961	1.36316 3 0  4 720 
2.27418	1.37394 3 0  4 720 
2.42644	1.37276 3 0  4 720 
2.20024	1.36219 3 0  4 720 
2.2603	1.36147 3 0  4 720 
2.34301	1.37419 3 0  4 720 
2.35675	1.37556 3 0  4 720 
2.37383	1.37444 3 0  4 720 
2.3031	1.36451 3 0  4 720 
2.33016	1.37177 3 0  4 720 
2.25229	1.36033 3 0  4 720 
2.32635	1.37232 3 0  4 720 
2.30666	1.36146 3 0  4 720 
2.29345	1.36054 3 0  4 720 
2.32206	1.36092 3 0  4 720 
2.31066	1.36076 3 0  4 720 
